City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Kahului,US,20.89,-156.47,84.2,62,40,5.82,scattered clouds
84,Atasu,KZ,48.68,71.64,7.79,95,65,7.83,broken clouds
85,Aklavik,CA,68.22,-135.01,-0.4,77,41,1.12,scattered clouds
86,Arraial Do Cabo,BR,-22.97,-42.03,75.2,100,75,9.17,broken clouds
87,Bambous Virieux,MU,-20.34,57.76,77.0,83,75,11.41,broken clouds
88,Vostok,RU,46.49,135.88,5.88,97,99,4.14,overcast clouds
89,Bonavista,CA,48.65,-53.11,39.2,100,100,3.36,light rain
90,Cuamba,MZ,-14.8,36.54,73.51,79,94,1.81,light rain
91,Skjervoy,NO,70.03,20.97,32.52,89,95,15.88,light snow
92,Puerto Ayora,EC,-0.74,-90.35,80.6,57,0,12.75,clear sky
93,Bud,US,39.45,-86.18,33.01,86,90,4.7,overcast clouds
94,Saint-Philippe,RE,-21.36,55.77,75.2,73,0,5.82,clear sky
95,Qaanaaq,GL,77.48,-69.36,-1.52,72,96,2.35,overcast clouds
96,Grenada,ES,37.19,-3.61,44.6,87,89,2.21,overcast clouds
97,Dicabisagan,PH,17.08,122.42,77.88,85,97,5.7,overcast clouds
98,Ahuimanu,US,21.44,-157.84,82.4,65,1,6.93,clear sky
99,Husavik,IS,66.04,-17.34,14.0,85,0,5.82,clear sky
100,Tuatapere,NZ,-46.13,167.68,62.92,52,22,8.55,few clouds
101,Amapa,BR,1.0,-52.0,78.71,70,25,3.51,scattered clouds
102,Gazli,UZ,40.13,63.45,20.25,80,97,12.5,overcast clouds
103,Mahebourg,MU,-20.41,57.7,77.0,83,75,11.41,broken clouds
104,Lamar,US,33.67,-95.58,57.2,41,1,11.41,clear sky
105,Codrington,AU,-38.27,141.97,53.64,74,98,20.2,light rain
106,Olavarria,AR,-36.89,-60.32,73.0,36,0,4.0,clear sky
107,Rapina,EE,58.1,27.46,34.0,63,0,8.05,clear sky
108,Lebu,CL,-37.62,-73.65,56.25,84,27,10.27,scattered clouds
109,Bethel,US,41.37,-73.41,34.0,62,0,4.0,clear sky
110,Ribeira Grande,PT,38.52,-28.7,60.26,67,74,7.18,broken clouds
111,Iqaluit,CA,63.75,-68.51,14.0,72,90,20.8,light snow
112,The Valley,AI,18.22,-63.06,80.6,74,20,10.29,few clouds
113,Montauban,FR,44.08,1.5,42.01,86,0,11.41,clear sky
114,Castro,BR,-24.79,-50.01,59.05,97,100,7.09,overcast clouds
115,Yerbogachen,RU,61.28,108.01,7.99,94,100,9.51,overcast clouds
116,Pevek,RU,69.7,170.31,2.52,94,99,2.51,overcast clouds
117,Viransehir,TR,37.24,39.76,44.82,54,0,6.69,clear sky
118,Agdas,AZ,40.65,47.48,35.6,93,90,3.36,overcast clouds
119,Praia Da Vitoria,PT,38.73,-27.07,55.99,87,40,9.24,scattered clouds
120,Fryanovo,RU,56.13,38.45,14.0,85,0,4.47,clear sky
121,Las Varas,MX,21.17,-105.17,77.0,47,90,5.82,overcast clouds
122,Celestun,MX,20.87,-90.4,77.41,84,13,9.6,few clouds
123,Znamenskoye,RU,57.13,73.83,6.22,93,90,8.72,overcast clouds
124,Cherskiy,RU,68.75,161.3,-4.32,90,85,3.04,overcast clouds
125,Vaini,TO,-21.2,-175.2,82.4,83,75,10.29,light rain
126,Bonthe,SL,7.53,-12.51,79.79,83,11,5.77,few clouds
127,Parintins,BR,-2.63,-56.74,85.55,56,79,2.46,broken clouds
128,Muros,ES,42.78,-9.06,57.0,88,100,3.0,overcast clouds
129,Wajima,JP,37.4,136.9,53.69,65,84,16.46,broken clouds
130,Bartica,GY,6.4,-58.62,80.6,83,20,6.93,few clouds
131,Luderitz,NA,-26.65,15.16,59.68,83,0,14.63,clear sky
132,Georgetown,MY,5.41,100.34,78.8,88,20,2.24,few clouds
133,Kachiry,KZ,53.07,76.1,-6.21,90,99,5.61,overcast clouds
134,Vila Franca Do Campo,PT,37.72,-25.43,59.0,72,75,8.05,broken clouds
135,Viedma,AR,-40.81,-63.0,84.99,19,39,5.99,scattered clouds
136,Buraydah,SA,26.33,43.98,53.6,93,0,3.36,clear sky
137,Tezu,IN,27.92,96.17,60.24,68,100,4.56,overcast clouds
138,General Roca,AR,-39.03,-67.58,91.4,21,0,8.05,clear sky
139,Marystown,CA,47.17,-55.15,47.73,92,100,7.92,overcast clouds
140,Bilma,NE,18.69,12.92,70.07,23,42,3.36,scattered clouds
141,Imeni Babushkina,RU,59.76,43.13,20.71,92,0,9.1,clear sky
142,Lompoc,US,34.64,-120.46,61.0,72,1,12.75,clear sky
143,Geraldton,AU,-28.77,114.6,62.6,67,0,10.29,clear sky
144,Zhezkazgan,KZ,47.8,67.71,-6.16,91,7,9.98,clear sky
145,Dakar,SN,14.69,-17.44,77.0,69,0,12.75,clear sky
146,Gamba,GA,-2.65,10.0,77.05,89,100,4.76,light rain
147,Siguiri,GN,11.67,-9.5,76.62,23,17,2.39,few clouds
148,Leningradskiy,RU,69.38,178.42,9.93,87,69,1.21,broken clouds
149,Khatanga,RU,71.97,102.5,-14.48,88,94,5.82,overcast clouds
150,Bloemfontein,ZA,-29.12,26.21,59.0,87,84,5.82,light rain
151,Lorengau,PG,-2.02,147.27,85.28,64,100,7.29,overcast clouds
152,Port Augusta,AU,-32.5,137.77,62.6,59,90,14.99,overcast clouds
153,Asau,RO,46.43,26.4,30.99,13,100,5.08,overcast clouds
154,Beyneu,KZ,45.32,55.2,11.05,91,0,9.01,clear sky
155,Luchegorsk,RU,46.48,134.26,9.68,95,61,4.88,broken clouds
156,Erdaojiang,CN,41.78,126.03,15.4,89,8,2.33,clear sky
157,Dikson,RU,73.51,80.55,-3.17,92,64,10.51,broken clouds
158,Selfoss,IS,63.93,-21.0,32.0,95,100,13.0,snow
159,Te Anau,NZ,-45.42,167.72,56.68,68,27,8.66,scattered clouds
160,Kaitangata,NZ,-46.28,169.85,66.61,42,11,12.12,few clouds
161,Asyut,EG,27.18,31.18,57.2,41,0,6.93,clear sky
162,Nanortalik,GL,60.14,-45.24,30.47,94,64,7.72,broken clouds
163,Mildura,AU,-34.2,142.15,62.01,72,90,11.41,overcast clouds
164,Norman Wells,CA,65.28,-126.83,-0.4,84,75,2.24,broken clouds
165,Shingu,JP,33.73,135.98,48.2,81,20,6.93,few clouds
166,Yumen,CN,40.28,97.2,10.06,92,43,5.48,scattered clouds
167,Chihuahua,MX,28.5,-106.0,57.99,26,5,8.05,clear sky
168,Sabya,SA,17.15,42.63,80.6,83,20,5.5,few clouds
169,Mantua,IT,45.17,10.78,37.4,100,40,6.93,mist
170,Takestan,IR,36.07,49.7,32.0,95,90,2.24,light snow
171,Payo,ID,-3.75,103.64,71.11,93,84,1.81,broken clouds
172,Maniitsoq,GL,65.42,-52.9,26.01,97,100,13.65,light snow
173,Grand Gaube,MU,-20.01,57.66,77.0,81,17,5.99,few clouds
174,Hofn,IS,64.25,-15.21,33.15,93,100,9.55,overcast clouds
175,Kaposmero,HU,46.36,17.7,46.0,93,71,4.7,broken clouds
176,Lata,PT,40.16,-8.33,51.01,94,94,5.01,overcast clouds
177,Nurota,UZ,40.56,65.69,19.4,73,77,2.24,broken clouds
178,Pennadam,IN,11.4,79.23,73.44,93,82,8.25,broken clouds
179,Nouadhibou,MR,20.93,-17.03,66.2,68,100,17.22,overcast clouds
180,Benguela,AO,-12.58,13.41,74.79,83,94,6.64,overcast clouds
181,Coihaique,CL,-45.58,-72.07,77.0,36,40,9.17,scattered clouds
182,Ferrol,ES,43.48,-8.24,55.99,100,75,16.11,broken clouds
183,Batagay-Alyta,RU,67.8,130.41,-33.88,78,0,1.1,clear sky
184,Nago,JP,26.59,127.98,69.8,94,1,6.93,light rain
185,Nuuk,GL,64.18,-51.72,30.2,86,91,3.36,light snow
186,Sitka,US,57.05,-135.33,48.2,76,90,8.05,light rain
187,San Quintin,MX,30.48,-115.95,67.12,41,23,12.5,few clouds
188,Nikolskoye,RU,59.7,30.79,30.99,54,0,11.18,clear sky
189,Santo Domingo,DO,18.5,-69.99,78.8,83,40,3.36,scattered clouds
190,Altona,DE,53.55,9.93,41.0,93,99,3.36,overcast clouds
191,Klaksvik,FO,62.23,-6.59,41.0,74,71,14.99,broken clouds
192,Halifax,CA,44.65,-63.57,41.0,75,100,25.28,overcast clouds
193,Boa Vista,BR,2.82,-60.67,86.0,66,40,5.82,scattered clouds
194,Atikokan,CA,48.76,-91.62,26.92,96,100,2.91,overcast clouds
195,Longyearbyen,SJ,78.22,15.64,26.6,79,90,25.28,light snow
