City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Kasongo,CD,2020-12-02 3:46,-4.45,26.67,68.99,99,100,1.5
97,Longyearbyen,SJ,2020-12-02 3:46,78.22,15.64,5,65,40,8.05
98,Kiunga,PG,2020-12-02 3:46,-6.12,141.29,95.47,47,37,1.61
99,Kodiak,US,2020-12-02 3:44,57.79,-152.41,37.4,86,90,14.99
100,Imbituba,BR,2020-12-02 3:45,-28.24,-48.67,69.8,94,75,1.12
101,Puerto Ayora,EC,2020-12-02 3:46,-0.74,-90.35,71.01,92,55,1.01
102,Saint-Philippe,RE,2020-12-02 3:46,-21.36,55.77,80.6,69,90,2.24
103,Butaritari,KI,2020-12-02 3:46,3.07,172.79,82.09,78,77,11.83
104,Mogadishu,SO,2020-12-02 3:46,2.04,45.34,78.55,79,51,16.89
105,Aki,JP,2020-12-02 3:46,33.5,133.9,60.8,55,20,3.36
106,Dabakala,CI,2020-12-02 3:46,8.37,-4.43,72.57,86,0,3.71
107,Benjamin Aceval,PY,2020-12-02 3:46,-24.97,-57.57,76.3,73,2,5.03
108,Kibala,TD,2020-12-02 3:46,9.11,18.35,66.2,77,0,1.5
109,Fossombrone,IT,2020-12-02 3:46,43.69,12.81,43,93,90,5.82
110,Khatanga,RU,2020-12-02 3:46,71.97,102.5,27.59,98,100,25.01
111,Bethel,US,2020-12-02 3:46,41.37,-73.41,37.99,59,90,13.87
112,Ahipara,NZ,2020-12-02 3:46,-35.17,173.17,67.73,73,61,4.43
113,Yambio,SS,2020-12-02 3:46,4.57,28.4,67.3,70,100,2.37
114,Majene,ID,2020-12-02 3:46,-3.54,118.97,87.53,63,2,9.75
115,Qurayyat,SA,2020-12-02 3:46,31.33,37.34,53.6,81,75,9.17
116,Omboue,GA,2020-12-02 3:46,-1.57,9.26,76.12,91,100,9.48
117,Simoes,BR,2020-12-02 3:46,-7.6,-40.82,79.09,44,84,5.75
118,Guadalajara,MX,2020-12-02 3:45,20.67,-103.33,64.4,48,5,5.82
119,Hamilton,US,2020-12-02 3:46,39.18,-84.53,30.99,68,75,10.29
120,Ribeira Grande,PT,2020-12-02 3:46,38.52,-28.7,62.38,79,100,34.02
121,Avera,US,2020-12-02 3:46,33.19,-82.53,33.8,92,1,4.7
122,Sibut,CF,2020-12-02 3:46,5.72,19.07,69.06,36,68,3.85
123,Mana,GF,2020-12-02 3:46,5.66,-53.78,76.59,88,92,8.57
124,Burnie,AU,2020-12-02 3:46,-41.07,145.92,57.99,47,0,18.01
125,Souillac,MU,2020-12-02 3:44,-20.52,57.52,77,94,40,8.05
126,Paamiut,GL,2020-12-02 3:46,61.99,-49.67,19.72,80,31,12.33
127,Bol,TD,2020-12-02 3:46,13.46,14.71,74.86,38,13,16.42
128,Magadan,RU,2020-12-02 3:46,59.57,150.8,11.82,92,66,4.36
129,Anadyr,RU,2020-12-02 3:46,64.75,177.48,-18.4,82,75,4.47
130,Luderitz,NA,2020-12-02 3:46,-26.65,15.16,60.8,63,0,16.11
131,Xocali,AZ,2020-12-02 3:46,39.91,46.79,38.88,74,0,1.1
132,Arraial Do Cabo,BR,2020-12-02 3:46,-22.97,-42.03,74.82,88,92,6.42
133,Pacific Grove,US,2020-12-02 3:42,36.62,-121.92,53.6,87,1,3.36
134,Narsingdi,BD,2020-12-02 3:46,23.92,90.72,75.2,78,0,3.78
135,Tim,RU,2020-12-02 3:46,51.62,37.12,21.2,79,0,11.18
136,Volksrust,ZA,2020-12-02 3:46,-27.37,29.88,54.57,89,66,3.42
137,Beringovskiy,RU,2020-12-02 3:46,63.05,179.32,-1.16,92,100,10.27
138,Dali,CN,2020-12-02 3:46,25.7,100.18,58.05,48,13,4.5
139,Viedma,AR,2020-12-02 3:46,-40.81,-63,66,29,6,5.99
140,Gat,IL,2020-12-02 3:46,31.61,34.76,51.8,87,20,4.7
141,Kavaratti,IN,2020-12-02 3:46,10.57,72.64,83.12,72,83,9.91
142,Sola,VU,2020-12-02 3:46,-13.88,167.55,78.22,77,86,15.79
143,Hudson Bay,CA,2020-12-02 3:46,52.85,-102.38,22.3,96,78,6.06
144,Saint-Francois,FR,2020-12-02 3:46,46.42,3.91,43,93,75,6.93
145,Krasnoselkup,RU,2020-12-02 3:46,65.7,82.47,8.33,95,100,18.92
146,Nishihara,JP,2020-12-02 3:44,26.18,127.76,73.4,78,90,11.41
147,East London,ZA,2020-12-02 3:46,-33.02,27.91,57.2,76,20,13.87
148,Kastamonu,TR,2020-12-02 3:46,41.5,33.67,33.1,91,52,0.87
149,Sisimiut,GL,2020-12-02 3:46,66.94,-53.67,16.56,94,100,8.21
150,Padang,ID,2020-12-02 3:46,-0.95,100.35,85.46,55,17,5.59
151,Olga,RU,2020-12-02 3:46,43.74,135.29,26.13,75,0,6.53
152,Gull Lake,CA,2020-12-02 3:46,50.1,-108.48,17.6,78,1,10.29
153,Grand-Santi,GF,2020-12-02 3:46,4.25,-54.38,72,96,100,2.93
154,Thompson,CA,2020-12-02 3:46,55.74,-97.86,21.2,92,90,3.36
155,Fortuna,US,2020-12-02 3:46,40.6,-124.16,43,90,44,3.38
156,Georgetown,MY,2020-12-02 3:46,5.41,100.34,84.2,74,20,3.36
157,Andenes,NO,2020-12-02 3:46,69.31,16.12,35.6,64,100,24.16
158,Quesnel,CA,2020-12-02 3:45,53,-122.5,26.6,79,1,2.24
159,Provideniya,RU,2020-12-02 3:46,64.38,-173.3,15.8,66,0,17.9
160,Okhotsk,RU,2020-12-02 3:46,59.38,143.3,-7.82,85,0,16.73
161,Sistranda,NO,2020-12-02 3:44,63.73,8.83,37.4,74,0,20.8
162,Norman Wells,CA,2020-12-02 3:46,65.28,-126.83,5,92,20,6.64
163,Tubay,PH,2020-12-02 3:46,9.17,125.52,86.11,66,100,3.58
164,Puerto Colombia,CO,2020-12-02 3:46,10.99,-74.95,78.8,100,40,3.36
165,Honiara,SB,2020-12-02 3:46,-9.43,159.95,89.6,59,75,11.41
166,Uyuni,BO,2020-12-02 3:42,-20.46,-66.83,54.39,45,58,20.62
167,Knysna,ZA,2020-12-02 3:46,-34.04,23.05,53.6,87,40,5.82
168,Pevek,RU,2020-12-02 3:46,69.7,170.31,-9.47,87,71,7.14
169,Prince Rupert,CA,2020-12-02 3:46,54.32,-130.32,48.2,76,90,20.8
170,Mount Gambier,AU,2020-12-02 3:46,-37.83,140.77,62.6,45,90,10.29
171,Simbahan,PH,2020-12-02 3:46,6.3,120.58,82.87,79,72,13.87
172,Havoysund,NO,2020-12-02 3:46,71,24.66,32,91,0,13.87
173,Itarema,BR,2020-12-02 3:46,-2.92,-39.92,79.7,79,28,14.03
174,Pavlodar,KZ,2020-12-02 3:46,52.3,76.95,-7.6,76,75,2.86
175,Carnarvon,AU,2020-12-02 3:46,-24.87,113.63,78.8,57,0,18.34
176,Tlalmanalco,MX,2020-12-02 3:46,19.22,-98.8,60.8,55,75,6.93
177,San Patricio,US,2020-12-02 3:46,28.02,-97.52,61,87,20,8.05
178,Alofi,NU,2020-12-02 3:46,-19.06,-169.92,82.4,83,75,11.41
179,Sao Filipe,CV,2020-12-02 3:46,14.9,-24.5,75.15,74,99,11.79
180,Lisala,CD,2020-12-02 3:46,2.15,21.52,68.5,65,70,1.57
181,Impfondo,CG,2020-12-02 3:46,1.64,18.07,70.02,65,72,0.96
182,Bambanglipuro,ID,2020-12-02 3:46,-7.95,110.28,86.65,62,53,5.77
183,Dwarka,IN,2020-12-02 3:46,22.24,68.97,80.56,46,0,10.2
184,Wattegama,LK,2020-12-02 3:46,6.8,81.48,82.4,88,40,6.93
185,Vila Do Maio,CV,2020-12-02 3:46,15.13,-23.22,73.4,73,0,11.41
186,Zhanaozen,KZ,2020-12-02 3:44,43.3,52.8,27.34,89,95,17.49
187,Lompoc,US,2020-12-02 3:46,34.64,-120.46,51.8,87,1,3.47
188,Summerville,US,2020-12-02 3:44,33.02,-80.18,37.4,80,1,5.84
189,Tiksi,RU,2020-12-02 3:46,71.69,128.87,-2.72,88,100,23.31
190,Gainesville,US,2020-12-02 3:46,29.65,-82.32,32,92,1,2.75
191,Pasni,PK,2020-12-02 3:46,25.26,63.47,75.06,37,0,6.31
192,Novobirilyussy,RU,2020-12-02 3:46,56.95,90.67,6.91,94,100,6.33
193,Pallasovka,RU,2020-12-02 3:46,50.05,46.88,11.01,88,0,11.52
194,Waitati,NZ,2020-12-02 3:46,-45.75,170.57,66.58,32,45,23.31
195,Penzance,GB,2020-12-02 3:46,50.12,-5.54,48.2,93,99,5.82
196,Satis,RU,2020-12-02 3:46,54.92,43.23,19.4,93,97,7.74
197,Chokurdakh,RU,2020-12-02 3:46,70.63,147.92,-0.09,94,95,10.67
198,Randazzo,IT,2020-12-02 3:46,37.88,14.95,57,82,89,3.67
199,Bud,US,2020-12-02 3:46,39.45,-86.18,26.01,79,1,6.49
