City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Alofi,NU,86.0,broken clouds,-19.06,-169.92,Taloa Heights
320,Kudahuvadhoo,MV,82.38,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
322,Puerto Quijarro,BO,83.57,broken clouds,-17.78,-57.77,Hotel palance
325,Araguaina,BR,80.42,light rain,-7.19,-48.21,Hotel São Vicente
331,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
335,Mackay,AU,86.0,broken clouds,-21.15,149.2,International Lodge Motel
340,Kirakira,SB,84.09,light rain,-10.45,161.92,SanBiz Lodge
341,Bubaque,GW,82.44,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
347,Mount Isa,AU,86.0,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
348,Gibara,CU,82.4,few clouds,21.11,-76.13,Sol y Mar
352,Maceio,BR,75.2,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
357,Coro,VE,79.21,scattered clouds,11.4,-69.67,Federal
362,Tarakan,ID,79.21,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
364,Port-Gentil,GA,77.0,moderate rain,-0.72,8.78,Fengshui Residence
365,Nelson Bay,AU,75.0,clear sky,-32.72,152.15,Mantra Nelson Bay
366,Kalmunai,LK,76.77,broken clouds,7.42,81.82,VS Villa
372,Ixtapa,MX,75.2,light rain,20.7,-105.2,Container Inn Puerto Vallarta
374,Angoche,MZ,78.28,broken clouds,-16.23,39.91,Guest House HESADA
376,Sydney,AU,77.0,clear sky,-33.87,151.21,QT Sydney
377,Matata,NZ,77.0,broken clouds,-37.88,176.75,paradise cabins
381,Rawson,AR,84.92,overcast clouds,-43.3,-65.1,Hotel Punta León
384,Omboue,GA,76.26,light rain,-1.57,9.26,Hotel Olako
387,Padang,ID,78.04,light rain,-0.95,100.35,Mercure Padang
393,Faanui,PF,81.25,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
394,Bengkulu,ID,75.02,light rain,-3.8,102.27,Grage Hotel Bengkulu
395,Byron Bay,AU,77.0,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
399,Kilindoni,TZ,80.73,clear sky,-7.91,39.67,Bustani B&B
402,Ambon,ID,77.0,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
403,Morondava,MG,79.11,scattered clouds,-20.28,44.28,La Case Bambou
409,Vaitape,PF,82.08,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
411,Alice Springs,AU,75.99,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
